,ユーザーURL,プロフィール,総いいね数,フォロワー,github,twitter,ポートフォリオ,Article数,Scraps数
113,https://zenn.dev/barusu,趣味で馬をやっている者だ,72,12,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,34,2
114,https://zenn.dev/minamik,"interest: [AD, FilmMaking, CG, xR, VirtualProduction, AWS, Python, Vue]",6,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
115,https://zenn.dev/yuuyu,"[Language : php, javascript, c# ] [Framework / Platform : Laravel, Unity] [Qiita : qiita.com/yuu_1st ]",8,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/yuuyu_prog,none,4,1
116,https://zenn.dev/shimotaroo,2020年4月から関西でWebエンジニア。PHP/Laravel/jQuery/Vue.js/Git,24,1,https://github.com/shimotaroo,https://twitter.com/shimotaroo,https://linktr.ee/shimotaroo,11,0
117,https://zenn.dev/nkshn,2社復業中web開発エンジニア🧑‍💻介護ITベンチャー←SES←病院 | 会話ロボット自社開発に関わり始めました python javascript 中心　音声認識、音声合成など,3,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,7,0
118,https://zenn.dev/catnose99,デザイナー/フロントエンドエンジニア。zenn.dev を開発中。,3118,595,https://github.com/catnose99,https://twitter.com/catnose99,https://catnose99.com/,29,22
119,https://zenn.dev/sobya,最近はずっとAndroidエンジニア SIer×2→カカクコム→おいしい健康 酒、車(特にメカ)、ぷよぷよが好き 3児の父やってます。,24,3,https://github.com/sobaya-0141,https://twitter.com/sobaya15,none,16,1
120,https://zenn.dev/84q,ゆるゆる感じたことを書いていきます。,19,1,https://github.com/84q,https://twitter.com/84q,none,1,0
121,https://zenn.dev/xxminamixx,"iOS/Android エンジニア Swift, Kotlin, Dart(Flutter)",33,4,https://github.com/xxminamixx,https://twitter.com/xxmmminminmmxx,none,10,2
122,https://zenn.dev/flirt774,PHP/WordPress/HTML/CSS/JavaScript,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
123,https://zenn.dev/en3_hcl,Swiftユーザ。iOS向けキーボードアプリ「azooKey」を開発・公開しています。apple.co/3lWjDqT,26,1,https://github.com/ensan-hcl,https://twitter.com/zenn_dev,none,4,4
124,https://zenn.dev/yutoktok,flixy CTO メルプ開発 http://flixy.co 元(和敬塾生 and 東京大学理学部情報科学 and 同院) すきなこと：ランニング(トライアスロン?)・読書・データ取り・初めてのこと,3,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
125,https://zenn.dev/ihcomirot,広く浅く経験していた右脳型エンジニアが頑張って記事を書きます。 世界は右脳型のエンジニアに優しく接して欲しい。,2,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
126,https://zenn.dev/nekoniki,静岡で細々とSEやってるフロントエンジニア(28)です。 C#/Javascript/Typescript/GoogleAppScript/React/ReactNative/Python,351,21,https://github.com/shutoyamada,https://twitter.com/pyoncoin,https://nekoniki.com/,46,1
127,https://zenn.dev/yusuke_akiyama,"React, Firebase好きで効率とか自動化とかめっちゃ好きです。",5,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,3,0
128,https://zenn.dev/takamoso,Web Developer,233,45,https://github.com/takamoso,https://twitter.com/takamosoo,none,4,0
129,https://zenn.dev/dhirooka,Machine learning engineer interested in deep learning.,15,1,https://github.com/daigo0927,https://twitter.com/daigo_hirooka,none,3,1
130,https://zenn.dev/junkato,Human-Computer Interaction researcher designing tools for programming interactive media content.,51,8,https://github.com/arcatdmz,https://twitter.com/arcatdmz,https://junkato.jp/ja,1,0
131,https://zenn.dev/suiudou,リアルインフラ設計がインフラエンジニアを目指して勉強中 2020年の４月からおばあ様達と苦手なPC教室に通い始めWordとExcelを学び、６月頃からAutoCadを使いこなしいまはインフラエンジニアになる為の勉強中です！ くーばねてす倒したらエンジニアになれるよ！って言われたのでやっつけるのが目標！最後はマブダチ,21,3,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,84,0
132,https://zenn.dev/skussun1,Salesforce導入コンサルタント,3,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/skussun1,none,1,0
133,https://zenn.dev/pressedkonbu,flutterエンジニアです。,130,13,https://github.com/kenta-wakasa,https://twitter.com/pressedkonbu,https://note.com/macgyverthink,9,6
